City,State,Latitude,Longitude,AverageSalary,Federal Tax,State Tax,FICA,Car Payment,Car Insurance,Healthcare,Distance (miles),Commute Miles,Gas Cost,Net Pay
Haverhill,MA,42.7838,-71.0871,119252,0,0,0,0,0,0,0,0,0,0
Point Arena,CA,38.9123,-123.6955,118578,0,0,0,0,0,0,0,0,0,0
Albion,CA,39.2256,-123.7564,61863,0,0,0,0,0,0,0,0,0,0
Blue Springs,MS,34.3922,-88.8779,109711,0,0,0,0,0,0,0,0,0,0
Turner,OR,44.8489,-122.9518,100194,0,0,0,0,0,0,0,0,0,0
West Point,IL,40.2556,-91.1836,113839,0,0,0,0,0,0,0,0,0,0
Elliott,MD,38.3095,-76.0069,67734,0,0,0,0,0,0,0,0,0,0
Algonquin,IL,42.1629,-88.3159,89268,0,0,0,0,0,0,0,0,0,0
Middletown,DE,39.445,-75.7183,67213,0,0,0,0,0,0,0,0,0,0
Dexter,MO,36.7928,-89.9632,105552,0,0,0,0,0,0,0,0,0,0
New Llano,LA,31.097,-93.2767,89410,0,0,0,0,0,0,0,0,0,0
Dammeron Valley,UT,37.3042,-113.6658,81495,0,0,0,0,0,0,0,0,0,0
Lake Hamilton,FL,28.0478,-81.627,44889,0,0,0,0,0,0,0,0,0,0
Leland,NC,34.2042,-78.0279,75057,0,0,0,0,0,0,0,0,0,0
Arlee,MT,47.1678,-114.0838,53635,0,0,0,0,0,0,0,0,0,0
Cameron,IL,40.8875,-90.5164,74261,0,0,0,0,0,0,0,0,0,0
South Hill,VA,36.7254,-78.1287,77201,0,0,0,0,0,0,0,0,0,0
Milton,KY,38.7113,-85.3734,67924,0,0,0,0,0,0,0,0,0,0
Hazleton,IA,42.6178,-91.9057,69295,0,0,0,0,0,0,0,0,0,0
Ernstville,MD,39.6304,-78.0239,85017,0,0,0,0,0,0,0,0,0,0
Science Hill,KY,37.1741,-84.6329,81965,0,0,0,0,0,0,0,0,0,0
Bon Aqua Junction,TN,35.9281,-87.3124,105464,0,0,0,0,0,0,0,0,0,0
Bridge City,LA,29.9321,-90.1594,86121,0,0,0,0,0,0,0,0,0,0
Culpeper,VA,38.4704,-78.0001,78714,0,0,0,0,0,0,0,0,0,0
Cornelius,OR,45.5188,-123.051,41381,0,0,0,0,0,0,0,0,0,0
Arapahoe,WY,42.9911,-108.4562,45267,0,0,0,0,0,0,0,0,0,0
Rapid River,MI,45.9264,-86.9743,63427,0,0,0,0,0,0,0,0,0,0
Indian Point,PA,41.2856,-74.8343,54525,0,0,0,0,0,0,0,0,0,0
Corning,KS,39.657,-96.0288,64713,0,0,0,0,0,0,0,0,0,0
Weedville,PA,41.2764,-78.4903,107752,0,0,0,0,0,0,0,0,0,0
Georgetown,CO,39.7179,-105.6942,40863,0,0,0,0,0,0,0,0,0,0
Chilhowie,VA,36.8009,-81.6832,112887,0,0,0,0,0,0,0,0,0,0
Marine,IL,38.7868,-89.7789,76153,0,0,0,0,0,0,0,0,0,0
Princeton,MO,40.3966,-93.5884,44329,0,0,0,0,0,0,0,0,0,0
Green Valley Farms,TX,26.1219,-97.561,60221,0,0,0,0,0,0,0,0,0,0
Kalona,IA,41.4874,-91.7018,51695,0,0,0,0,0,0,0,0,0,0
Rancho Alegre,TX,27.7392,-98.1027,75059,0,0,0,0,0,0,0,0,0,0
Halsey,OR,44.3827,-123.111,50247,0,0,0,0,0,0,0,0,0,0
Rincón,PR,18.15,-66.1569,42860,0,0,0,0,0,0,0,0,0,0
Oldsmar,FL,28.0506,-82.6698,79332,0,0,0,0,0,0,0,0,0,0
Edgeley,ND,46.3625,-98.7126,119382,0,0,0,0,0,0,0,0,0,0
St. Pierre,MT,48.2439,-109.8161,62970,0,0,0,0,0,0,0,0,0,0
Havelock,IA,42.833,-94.701,88444,0,0,0,0,0,0,0,0,0,0
Mansfield,IL,40.2125,-88.5084,99426,0,0,0,0,0,0,0,0,0,0
Rochester,MI,42.6866,-83.1198,91813,0,0,0,0,0,0,0,0,0,0
Mexico,IN,40.8143,-86.1113,59420,0,0,0,0,0,0,0,0,0,0
Greendale,MO,38.6938,-90.3125,69639,0,0,0,0,0,0,0,0,0,0
Maitland,PA,40.6242,-77.5019,91969,0,0,0,0,0,0,0,0,0,0
Garden City,KS,37.9753,-100.8527,112541,0,0,0,0,0,0,0,0,0,0
Idaville,PA,40.0199,-77.2034,119135,0,0,0,0,0,0,0,0,0,0
Whitetail,MT,48.8966,-105.1619,108379,0,0,0,0,0,0,0,0,0,0
Evarts,KY,36.8645,-83.1926,96521,0,0,0,0,0,0,0,0,0,0
Cle Elum,WA,47.1943,-120.9539,116025,0,0,0,0,0,0,0,0,0,0
Bailey,TX,33.4337,-96.1651,107148,0,0,0,0,0,0,0,0,0,0
Easton,MO,39.7226,-94.6404,102970,0,0,0,0,0,0,0,0,0,0
El Rio,CA,34.2453,-119.1568,59581,0,0,0,0,0,0,0,0,0,0
Lansing,OH,40.0758,-80.7919,98420,0,0,0,0,0,0,0,0,0,0
Kersey,PA,41.357,-78.6101,85900,0,0,0,0,0,0,0,0,0,0
Kaylor,SD,43.1926,-97.8405,58006,0,0,0,0,0,0,0,0,0,0
Weston Lakes,TX,29.6627,-95.9352,92389,0,0,0,0,0,0,0,0,0,0
Mark,IL,41.2623,-89.2551,51440,0,0,0,0,0,0,0,0,0,0
Mount Horeb,WI,43.006,-89.7316,41161,0,0,0,0,0,0,0,0,0,0
Lake Hallie,WI,44.8921,-91.4199,41893,0,0,0,0,0,0,0,0,0,0
Streetsboro,OH,41.2396,-81.3456,61384,0,0,0,0,0,0,0,0,0,0
Carrollton,VA,36.9382,-76.5238,101692,0,0,0,0,0,0,0,0,0,0
Monterey Park,CA,34.0497,-118.1326,78110,0,0,0,0,0,0,0,0,0,0
Sunset Lake,NJ,39.452,-75.2337,85266,0,0,0,0,0,0,0,0,0,0
Shenandoah,IA,40.7582,-95.372,51267,0,0,0,0,0,0,0,0,0,0
Scotts Mills,OR,45.041,-122.6689,119973,0,0,0,0,0,0,0,0,0,0
Wilkerson,CA,37.2794,-118.3877,93730,0,0,0,0,0,0,0,0,0,0
Oahe Acres,SD,44.4648,-100.3449,81168,0,0,0,0,0,0,0,0,0,0
Tira,TX,33.3222,-95.5606,64881,0,0,0,0,0,0,0,0,0,0
Pine Grove Mills,PA,40.7315,-77.8884,109284,0,0,0,0,0,0,0,0,0,0
Clear Lake,WA,46.931,-122.2841,65444,0,0,0,0,0,0,0,0,0,0
Ranchette Estates,TX,26.4844,-97.822,87754,0,0,0,0,0,0,0,0,0,0
Alexandria,TN,36.0791,-86.0382,104165,0,0,0,0,0,0,0,0,0,0
Sylvester,TX,32.7221,-100.2507,47618,0,0,0,0,0,0,0,0,0,0
Plentywood,MT,48.776,-104.5574,40997,0,0,0,0,0,0,0,0,0,0
Elkton,KY,36.8134,-87.161,49471,0,0,0,0,0,0,0,0,0,0
Macksburg,OH,39.6314,-81.4562,105229,0,0,0,0,0,0,0,0,0,0
Old Tappan,NJ,41.0163,-73.9855,66655,0,0,0,0,0,0,0,0,0,0
Channahon,IL,41.421,-88.2599,89847,0,0,0,0,0,0,0,0,0,0
Vera Cruz,IN,40.7016,-85.0795,91106,0,0,0,0,0,0,0,0,0,0
Walnut Cove,NC,36.2938,-80.1408,84348,0,0,0,0,0,0,0,0,0,0
Orangeburg,SC,33.4928,-80.8671,106914,0,0,0,0,0,0,0,0,0,0
East Highland Park,VA,37.577,-77.3865,49168,0,0,0,0,0,0,0,0,0,0
Mount Lebanon,LA,32.5053,-93.0499,59099,0,0,0,0,0,0,0,0,0,0
Boalsburg,PA,40.7783,-77.7734,89999,0,0,0,0,0,0,0,0,0,0
Oak Grove,OK,36.2056,-96.3384,78353,0,0,0,0,0,0,0,0,0,0
Linneus,MO,39.8767,-93.1868,71512,0,0,0,0,0,0,0,0,0,0
Hartland,WI,43.1029,-88.3396,73724,0,0,0,0,0,0,0,0,0,0
Ontario,OR,44.0259,-116.976,97149,0,0,0,0,0,0,0,0,0,0
Reasnor,IA,41.5789,-93.0229,54177,0,0,0,0,0,0,0,0,0,0
Malibu,CA,34.037,-118.7839,40136,0,0,0,0,0,0,0,0,0,0
University of Pittsburgh Bradford,PA,41.9443,-78.6727,91324,0,0,0,0,0,0,0,0,0,0
Kerkhoven,MN,45.1925,-95.3202,66245,0,0,0,0,0,0,0,0,0,0
Fort Yukon,AK,66.5806,-145.2415,65215,0,0,0,0,0,0,0,0,0,0
Hansboro,ND,48.9524,-99.3802,86316,0,0,0,0,0,0,0,0,0,0
Millbrook,AL,32.5027,-86.3737,80718,0,0,0,0,0,0,0,0,0,0
Milton,WV,38.433,-82.1303,95244,0,0,0,0,0,0,0,0,0,0
Providence Village,TX,33.238,-96.9583,80031,0,0,0,0,0,0,0,0,0,0
Salt Creek,CO,38.2407,-104.5867,100587,0,0,0,0,0,0,0,0,0,0
Lanagan,MO,36.6061,-94.4517,55072,0,0,0,0,0,0,0,0,0,0
West Richland,WA,46.3115,-119.3999,66475,0,0,0,0,0,0,0,0,0,0
Millersburg,MI,45.3344,-84.0601,111796,0,0,0,0,0,0,0,0,0,0
Grafton,IL,38.9764,-90.4258,67397,0,0,0,0,0,0,0,0,0,0
Strasburg,OH,40.6004,-81.5293,40799,0,0,0,0,0,0,0,0,0,0
East Rochester,NY,43.1122,-77.4869,51695,0,0,0,0,0,0,0,0,0,0
Inverness,FL,28.8416,-82.3418,40320,0,0,0,0,0,0,0,0,0,0
Shorewood,WI,43.0913,-87.8864,101388,0,0,0,0,0,0,0,0,0,0
Pembroke,KY,36.7752,-87.358,94327,0,0,0,0,0,0,0,0,0,0
Wakefield,MI,46.4767,-89.9336,57522,0,0,0,0,0,0,0,0,0,0
Searles,MN,44.2307,-94.4362,114135,0,0,0,0,0,0,0,0,0,0
Fairfield Harbour,NC,35.0706,-76.9571,51545,0,0,0,0,0,0,0,0,0,0
Riverpoint,WA,47.4842,-121.7151,58288,0,0,0,0,0,0,0,0,0,0
Wonewoc,WI,43.6531,-90.2239,71000,0,0,0,0,0,0,0,0,0,0
Bruning,NE,40.3358,-97.5647,48048,0,0,0,0,0,0,0,0,0,0
Rock Ridge,CT,41.0345,-73.6484,44210,0,0,0,0,0,0,0,0,0,0
Avimor,ID,43.7758,-116.2571,83610,0,0,0,0,0,0,0,0,0,0
Hilton,NY,43.29,-77.7925,103143,0,0,0,0,0,0,0,0,0,0
Wilburton,OK,34.9182,-95.3049,96361,0,0,0,0,0,0,0,0,0,0
North San Ysidro,NM,35.4747,-105.5661,96437,0,0,0,0,0,0,0,0,0,0
South Royalton,VT,43.8123,-72.5155,113694,0,0,0,0,0,0,0,0,0,0
Princeton,FL,25.5396,-80.3971,59063,0,0,0,0,0,0,0,0,0,0
St. Maurice,LA,31.7613,-92.9389,43532,0,0,0,0,0,0,0,0,0,0
Greenville,GA,33.0322,-84.7163,49597,0,0,0,0,0,0,0,0,0,0
Battle Creek,NE,41.9981,-97.5994,70183,0,0,0,0,0,0,0,0,0,0
Kansas,OH,41.2452,-83.2839,61799,0,0,0,0,0,0,0,0,0,0
Trinity,TX,30.9445,-95.3736,119834,0,0,0,0,0,0,0,0,0,0
Fredericksburg,VA,38.2992,-77.4872,45895,0,0,0,0,0,0,0,0,0,0
Braddock Heights,MD,39.4117,-77.4991,112089,0,0,0,0,0,0,0,0,0,0
Riddleville,GA,32.9069,-82.6661,44825,0,0,0,0,0,0,0,0,0,0
Deer Canyon,NM,34.4436,-106.2607,70508,0,0,0,0,0,0,0,0,0,0
Captain Cook,HI,19.4995,-155.8937,78032,0,0,0,0,0,0,0,0,0,0
Annetta,TX,32.6938,-97.6581,44725,0,0,0,0,0,0,0,0,0,0
South Run,VA,38.7467,-77.2754,82422,0,0,0,0,0,0,0,0,0,0
Moreland Hills,OH,41.4422,-81.4293,46849,0,0,0,0,0,0,0,0,0,0
Wacousta,MI,42.8202,-84.6907,111713,0,0,0,0,0,0,0,0,0,0
Casa Colorada,NM,34.5534,-106.742,73738,0,0,0,0,0,0,0,0,0,0
Drexel Hill,PA,39.9495,-75.3038,91027,0,0,0,0,0,0,0,0,0,0
Spooner,WI,45.8271,-91.886,103589,0,0,0,0,0,0,0,0,0,0
Ardentown,DE,39.8083,-75.4809,46371,0,0,0,0,0,0,0,0,0,0
Yucca,AZ,34.8629,-114.1461,98261,0,0,0,0,0,0,0,0,0,0
San Juan Capistrano,CA,33.5008,-117.6544,74157,0,0,0,0,0,0,0,0,0,0
Cumming,GA,34.2063,-84.1339,92347,0,0,0,0,0,0,0,0,0,0
Dearing,KS,37.0534,-95.6954,105957,0,0,0,0,0,0,0,0,0,0
Franklin Forge,PA,40.4713,-78.2317,81969,0,0,0,0,0,0,0,0,0,0
Brethren,MI,44.3048,-86.0168,57383,0,0,0,0,0,0,0,0,0,0
Mill Creek,OK,34.4022,-96.8249,93591,0,0,0,0,0,0,0,0,0,0
Elizabethton,TN,36.3367,-82.237,95778,0,0,0,0,0,0,0,0,0,0
Fowler,MI,43.0041,-84.7411,97263,0,0,0,0,0,0,0,0,0,0
Eads,CO,38.4814,-102.7797,109076,0,0,0,0,0,0,0,0,0,0
Briarcliff,TX,30.4088,-98.0452,73414,0,0,0,0,0,0,0,0,0,0
Wheeler,IL,39.043,-88.3188,55739,0,0,0,0,0,0,0,0,0,0
McBride,MI,43.3521,-85.0441,68015,0,0,0,0,0,0,0,0,0,0
Auburn,NY,42.9338,-76.5685,116260,0,0,0,0,0,0,0,0,0,0
Gladwin,MI,43.9837,-84.4876,49795,0,0,0,0,0,0,0,0,0,0
Elkin,NC,36.2621,-80.8443,60365,0,0,0,0,0,0,0,0,0,0
Fairbury,IL,40.746,-88.5158,88340,0,0,0,0,0,0,0,0,0,0
Orange Park,FL,30.1706,-81.7041,98870,0,0,0,0,0,0,0,0,0,0
La Fayette,AL,32.8997,-85.4007,41391,0,0,0,0,0,0,0,0,0,0
Hallowell,KS,37.1733,-95.0027,69995,0,0,0,0,0,0,0,0,0,0
Dresser,IN,39.4633,-87.424,66862,0,0,0,0,0,0,0,0,0,0
Mount Royal,NJ,39.8099,-75.2137,54323,0,0,0,0,0,0,0,0,0,0
Eastport,ME,44.9137,-67.0183,57032,0,0,0,0,0,0,0,0,0,0
Bloomfield,MO,36.8875,-89.9306,40246,0,0,0,0,0,0,0,0,0,0
Ellerslie,GA,32.6341,-84.7978,88447,0,0,0,0,0,0,0,0,0,0
Manistique,MI,45.9591,-86.2507,67007,0,0,0,0,0,0,0,0,0,0
Milliken,CO,40.3115,-104.8561,98817,0,0,0,0,0,0,0,0,0,0
Santa Cruz,TX,26.3537,-98.7676,76735,0,0,0,0,0,0,0,0,0,0
Nixon,TX,29.2698,-97.7658,117502,0,0,0,0,0,0,0,0,0,0
Burlington,WA,48.4676,-122.3298,54334,0,0,0,0,0,0,0,0,0,0
The Colony,TX,33.0925,-96.8976,112847,0,0,0,0,0,0,0,0,0,0
Pineville,WV,37.5846,-81.5355,80245,0,0,0,0,0,0,0,0,0,0
Bonanza,CO,38.2966,-106.1419,42045,0,0,0,0,0,0,0,0,0,0
Falls City,OR,44.8648,-123.4372,64726,0,0,0,0,0,0,0,0,0,0
Buffalo,MN,45.1794,-93.8644,71655,0,0,0,0,0,0,0,0,0,0
Monroe,NE,41.4741,-97.5989,58782,0,0,0,0,0,0,0,0,0,0
Frontier,ND,46.8002,-96.8331,49875,0,0,0,0,0,0,0,0,0,0
Dell City,TX,31.9349,-105.1998,81378,0,0,0,0,0,0,0,0,0,0
Maryville,TN,35.7468,-83.9789,74832,0,0,0,0,0,0,0,0,0,0
Westport Village,CT,41.1428,-73.3609,40916,0,0,0,0,0,0,0,0,0,0
Shipman,IL,39.1203,-90.0452,88302,0,0,0,0,0,0,0,0,0,0
Sidney,IA,40.7459,-95.6447,117332,0,0,0,0,0,0,0,0,0,0
Newburgh Heights,OH,41.4509,-81.6628,64524,0,0,0,0,0,0,0,0,0,0
Doland,SD,44.8944,-98.0997,55316,0,0,0,0,0,0,0,0,0,0
Lake Michigan Beach,MI,42.2127,-86.376,108319,0,0,0,0,0,0,0,0,0,0
Lomas,PR,18.2688,-65.9096,91715,0,0,0,0,0,0,0,0,0,0
Cayuga,IN,39.9474,-87.4644,97879,0,0,0,0,0,0,0,0,0,0
Springdale Colony,MT,46.4618,-111.0192,96196,0,0,0,0,0,0,0,0,0,0
Anthony,TX,31.9876,-106.5933,76495,0,0,0,0,0,0,0,0,0,0
Shamokin,PA,40.7881,-76.555,107598,0,0,0,0,0,0,0,0,0,0
Marshall,AR,35.9084,-92.6459,103038,0,0,0,0,0,0,0,0,0,0
Hazelton,ID,42.5953,-114.1366,96319,0,0,0,0,0,0,0,0,0,0
Ruth,NV,39.2791,-114.9901,110096,0,0,0,0,0,0,0,0,0,0
Paxtonville,PA,40.7702,-77.0808,101083,0,0,0,0,0,0,0,0,0,0
Longview,TX,32.5193,-94.7622,105417,0,0,0,0,0,0,0,0,0,0
Ravanna,MO,40.456,-93.462,119309,0,0,0,0,0,0,0,0,0,0
Reeves,LA,30.5215,-93.0428,61185,0,0,0,0,0,0,0,0,0,0
Adrian,GA,32.5306,-82.592,78634,0,0,0,0,0,0,0,0,0,0
Philippi,WV,39.1488,-80.0417,59522,0,0,0,0,0,0,0,0,0,0
Garland,NE,40.9446,-96.9855,63710,0,0,0,0,0,0,0,0,0,0
Walnut Ridge,AR,36.0848,-90.9467,63548,0,0,0,0,0,0,0,0,0,0
Brass Castle,NJ,40.7621,-75.014,91818,0,0,0,0,0,0,0,0,0,0
Quincy,FL,30.5661,-84.5858,56428,0,0,0,0,0,0,0,0,0,0
Newman,IL,39.797,-87.9878,72121,0,0,0,0,0,0,0,0,0,0
Ruidoso,NM,33.3646,-105.6434,66627,0,0,0,0,0,0,0,0,0,0
Crucible,PA,39.9479,-79.9657,86479,0,0,0,0,0,0,0,0,0,0
Beebe,AR,35.0713,-91.8998,106809,0,0,0,0,0,0,0,0,0,0
Middlebury,IN,41.6696,-85.7075,83601,0,0,0,0,0,0,0,0,0,0
Seagoville,TX,32.653,-96.5456,70447,0,0,0,0,0,0,0,0,0,0
Wheatland,IN,38.6632,-87.3062,72740,0,0,0,0,0,0,0,0,0,0
Colver,PA,40.5426,-78.7891,98169,0,0,0,0,0,0,0,0,0,0
Easton,WA,47.2405,-121.1733,91786,0,0,0,0,0,0,0,0,0,0
Harperville,MS,32.4928,-89.4879,111515,0,0,0,0,0,0,0,0,0,0
Proberta,CA,40.0761,-122.1776,110417,0,0,0,0,0,0,0,0,0,0
Paia,HI,20.9062,-156.3677,86835,0,0,0,0,0,0,0,0,0,0
Randlett,UT,40.2267,-109.8308,75308,0,0,0,0,0,0,0,0,0,0
Eggertsville,NY,42.9665,-78.8065,106262,0,0,0,0,0,0,0,0,0,0
Hickman,KY,36.565,-89.1836,58907,0,0,0,0,0,0,0,0,0,0
Mystic,IA,40.7792,-92.9446,68198,0,0,0,0,0,0,0,0,0,0
Wassaic,NY,41.8064,-73.5593,102453,0,0,0,0,0,0,0,0,0,0
Madison,PA,40.2455,-79.6748,115923,0,0,0,0,0,0,0,0,0,0
Laurelville,OH,39.472,-82.7374,55628,0,0,0,0,0,0,0,0,0,0
Mystic,CT,41.3562,-71.9546,104824,0,0,0,0,0,0,0,0,0,0
Taconic Shores,NY,42.1193,-73.5531,92204,0,0,0,0,0,0,0,0,0,0
Lula,GA,34.3955,-83.6659,118947,0,0,0,0,0,0,0,0,0,0
Merced,CA,37.3057,-120.4779,45600,0,0,0,0,0,0,0,0,0,0
Hillsdale,WY,41.2079,-104.4744,94821,0,0,0,0,0,0,0,0,0,0
McDade,TX,30.2817,-97.2453,43206,0,0,0,0,0,0,0,0,0,0
Russellville,AL,34.5055,-87.7283,61281,0,0,0,0,0,0,0,0,0,0
Lamar,MO,37.4945,-94.2791,62760,0,0,0,0,0,0,0,0,0,0
Pahala,HI,19.1993,-155.4772,70482,0,0,0,0,0,0,0,0,0,0
Randall,IA,42.237,-93.6026,79028,0,0,0,0,0,0,0,0,0,0
Ponderosa Pines,MT,46.0374,-111.35,63485,0,0,0,0,0,0,0,0,0,0
Sailor Springs,IL,38.7645,-88.3602,79986,0,0,0,0,0,0,0,0,0,0
Hatley,WI,44.8866,-89.3371,90400,0,0,0,0,0,0,0,0,0,0
Parma Heights,OH,41.3865,-81.7637,74964,0,0,0,0,0,0,0,0,0,0
Forney,TX,32.744,-96.4529,112715,0,0,0,0,0,0,0,0,0,0
Sun City West,AZ,33.6695,-112.3573,101272,0,0,0,0,0,0,0,0,0,0
Lowesville,NC,35.4193,-80.9998,57358,0,0,0,0,0,0,0,0,0,0
Conesville,OH,40.1851,-81.8921,52952,0,0,0,0,0,0,0,0,0,0
Nemaha,NE,40.3388,-95.676,94946,0,0,0,0,0,0,0,0,0,0
East Gillespie,IL,39.1378,-89.8127,59650,0,0,0,0,0,0,0,0,0,0
Moonshine,LA,29.9701,-90.8132,63321,0,0,0,0,0,0,0,0,0,0
Wampsville,NY,43.0772,-75.7097,74956,0,0,0,0,0,0,0,0,0,0
Grand Lake Towne,OK,36.5048,-95.0252,107777,0,0,0,0,0,0,0,0,0,0
Cienegas Terrace,TX,29.3687,-100.9432,84783,0,0,0,0,0,0,0,0,0,0
Sparks,NV,39.5736,-119.7161,58071,0,0,0,0,0,0,0,0,0,0
Rock Creek,AL,33.4772,-87.0812,77851,0,0,0,0,0,0,0,0,0,0
Haskell,OK,35.8187,-95.6805,117722,0,0,0,0,0,0,0,0,0,0
Seaford,NY,40.6678,-73.4922,44378,0,0,0,0,0,0,0,0,0,0
Owl Creek,WY,43.7819,-108.5679,85969,0,0,0,0,0,0,0,0,0,0
Johnsonburg,PA,41.4913,-78.6791,107509,0,0,0,0,0,0,0,0,0,0
Aguanga,CA,33.4522,-116.8555,68502,0,0,0,0,0,0,0,0,0,0
Glen Allen,AL,33.8922,-87.7329,60428,0,0,0,0,0,0,0,0,0,0
Copperas Cove,TX,31.1192,-97.914,81786,0,0,0,0,0,0,0,0,0,0
Pocahontas,AR,36.2635,-90.9706,98255,0,0,0,0,0,0,0,0,0,0
Pine Grove,WV,39.5642,-80.6825,90711,0,0,0,0,0,0,0,0,0,0
Broadland,SD,44.4938,-98.3466,111294,0,0,0,0,0,0,0,0,0,0
Hull,TX,30.1464,-94.6422,115439,0,0,0,0,0,0,0,0,0,0
Glenville,NC,35.1718,-83.1273,59954,0,0,0,0,0,0,0,0,0,0
Clemson,SC,34.6837,-82.8124,46823,0,0,0,0,0,0,0,0,0,0
Teresita,OK,36.123,-94.9803,82928,0,0,0,0,0,0,0,0,0,0
El Negro,PR,18.037,-65.8494,45149,0,0,0,0,0,0,0,0,0,0
Samoa,CA,40.8146,-124.1893,105609,0,0,0,0,0,0,0,0,0,0
Jacksonville,NY,42.5088,-76.6167,46405,0,0,0,0,0,0,0,0,0,0
Alexis,NC,35.3968,-81.119,71325,0,0,0,0,0,0,0,0,0,0
Virginia Gardens,FL,25.8095,-80.2974,57140,0,0,0,0,0,0,0,0,0,0
Engelhard,NC,35.5092,-76.0095,77289,0,0,0,0,0,0,0,0,0,0
Dry Ridge,OH,39.2589,-84.6342,88285,0,0,0,0,0,0,0,0,0,0
Hinckley,IL,41.7714,-88.6397,75361,0,0,0,0,0,0,0,0,0,0
Coronaca,SC,34.2595,-82.0969,119095,0,0,0,0,0,0,0,0,0,0
Union City,GA,33.5942,-84.5629,118301,0,0,0,0,0,0,0,0,0,0
Bartow,FL,27.8868,-81.8214,106912,0,0,0,0,0,0,0,0,0,0
Maalaea,HI,20.8047,-156.4898,50868,0,0,0,0,0,0,0,0,0,0
Haines,AK,59.2416,-135.4549,53890,0,0,0,0,0,0,0,0,0,0
Salado,AR,35.6954,-91.5923,85487,0,0,0,0,0,0,0,0,0,0
Victor,CA,38.1385,-121.1987,116309,0,0,0,0,0,0,0,0,0,0
Wheaton,MN,45.8059,-96.498,111642,0,0,0,0,0,0,0,0,0,0
Harrells,NC,34.7278,-78.2015,79025,0,0,0,0,0,0,0,0,0,0
Abbeville,SC,34.1787,-82.3774,97836,0,0,0,0,0,0,0,0,0,0
Aspen Hill,MD,39.0927,-77.0826,111520,0,0,0,0,0,0,0,0,0,0
Louviers,CO,39.4799,-105.0033,83114,0,0,0,0,0,0,0,0,0,0
Clarksville,VA,36.6171,-78.5638,61395,0,0,0,0,0,0,0,0,0,0
Tryon,NC,35.2086,-82.2379,117000,0,0,0,0,0,0,0,0,0,0
Park Ridge,WI,44.52,-89.5463,78599,0,0,0,0,0,0,0,0,0,0
Island Park,ID,44.5281,-111.3591,111343,0,0,0,0,0,0,0,0,0,0
Silverado Resort,CA,38.3536,-122.2556,100040,0,0,0,0,0,0,0,0,0,0
Summit,OR,44.6363,-123.5769,75391,0,0,0,0,0,0,0,0,0,0
Moriches,NY,40.807,-72.8235,68013,0,0,0,0,0,0,0,0,0,0
Holland Patent,NY,43.2413,-75.2567,70034,0,0,0,0,0,0,0,0,0,0
Amorita,OK,36.924,-98.2936,52534,0,0,0,0,0,0,0,0,0,0
Port Wentworth,GA,32.1951,-81.1991,104789,0,0,0,0,0,0,0,0,0,0
Burr Oak,IA,43.458,-91.8619,88311,0,0,0,0,0,0,0,0,0,0
Crookston,MN,47.7747,-96.6062,44078,0,0,0,0,0,0,0,0,0,0
Highland Haven,TX,30.6074,-98.3951,61788,0,0,0,0,0,0,0,0,0,0
Morley,MO,37.0433,-89.6122,57544,0,0,0,0,0,0,0,0,0,0
Royal City,WA,46.9018,-119.6205,89616,0,0,0,0,0,0,0,0,0,0
North Utica,IL,41.3536,-89.0109,91312,0,0,0,0,0,0,0,0,0,0
Bunker Hill,IN,40.6601,-86.1015,113851,0,0,0,0,0,0,0,0,0,0
Allendale,MO,40.4853,-94.2887,54989,0,0,0,0,0,0,0,0,0,0
Wausau,FL,30.6334,-85.5874,45618,0,0,0,0,0,0,0,0,0,0
Syracuse,KS,37.962,-101.7782,56473,0,0,0,0,0,0,0,0,0,0
Colburn,IN,40.5188,-86.7122,108004,0,0,0,0,0,0,0,0,0,0
Phoenicia,NY,42.079,-74.3089,115694,0,0,0,0,0,0,0,0,0,0
Fairmont,IL,41.5614,-88.0587,77338,0,0,0,0,0,0,0,0,0,0
East Ithaca,NY,42.4276,-76.4612,61213,0,0,0,0,0,0,0,0,0,0
Alexandria,MN,45.8776,-95.3767,111675,0,0,0,0,0,0,0,0,0,0
Monticello,GA,33.2955,-83.686,59515,0,0,0,0,0,0,0,0,0,0
Thawville,IL,40.673,-88.1137,76189,0,0,0,0,0,0,0,0,0,0
Federal Dam,MN,47.2411,-94.2152,118938,0,0,0,0,0,0,0,0,0,0
Spencer,OH,41.0991,-82.1231,56265,0,0,0,0,0,0,0,0,0,0
Calipatria,CA,33.1493,-115.5055,46191,0,0,0,0,0,0,0,0,0,0
Crystal Beach,NY,42.8095,-77.2582,100385,0,0,0,0,0,0,0,0,0,0
Hutto,TX,30.5396,-97.544,71966,0,0,0,0,0,0,0,0,0,0
Grayson,KY,38.3317,-82.9371,50292,0,0,0,0,0,0,0,0,0,0
McPherson,KS,38.3714,-97.6605,88933,0,0,0,0,0,0,0,0,0,0
Idalou,TX,33.6624,-101.6838,116555,0,0,0,0,0,0,0,0,0,0
Trenton,OH,39.4792,-84.462,63478,0,0,0,0,0,0,0,0,0,0
Our Town,AL,32.8304,-85.9687,61037,0,0,0,0,0,0,0,0,0,0
Williamsburg,OH,39.0555,-84.0478,91468,0,0,0,0,0,0,0,0,0,0
Oxford,MI,42.8218,-83.2563,58522,0,0,0,0,0,0,0,0,0,0
Schell City,MO,38.0192,-94.1167,87609,0,0,0,0,0,0,0,0,0,0
Woodlynne,NJ,39.9167,-75.0957,47338,0,0,0,0,0,0,0,0,0,0
